week_end,race_eth,n_onedose,n_bivalent,n_2023,coverage_onedose,coverage_bivalent,coverage_2023
2022-03-26,Hispanic/Latino,334723,0,0,64,0,0
2022-03-26,Non-Hispanic Asian,161725,0,0,85.9,0,0
2022-03-26,Non-Hispanic Black,235214,0,0,63.7,0,0
2022-03-26,Non-Hispanic Other,193268,0,0,>90,0,0
2022-03-26,Non-Hispanic White,884323,0,0,77.5,0,0
2022-04-02,Hispanic/Latino,335194,0,0,64.1,0,0
2022-04-02,Non-Hispanic Asian,161913,0,0,86,0,0
2022-04-02,Non-Hispanic Black,235644,0,0,63.8,0,0
2022-04-02,Non-Hispanic Other,193430,0,0,>90,0,0
2022-04-02,Non-Hispanic White,885073,0,0,77.6,0,0
2022-04-09,Hispanic/Latino,335644,0,0,64.2,0,0
2022-04-09,Non-Hispanic Asian,162099,0,0,86,0,0
2022-04-09,Non-Hispanic Black,236030,0,0,63.9,0,0
2022-04-09,Non-Hispanic Other,193620,0,0,>90,0,0
2022-04-09,Non-Hispanic White,886054,0,0,77.7,0,0
2022-04-16,Hispanic/Latino,336083,0,0,64.2,0,0
2022-04-16,Non-Hispanic Asian,162373,0,0,86.2,0,0
2022-04-16,Non-Hispanic Black,236412,0,0,64,0,0
2022-04-16,Non-Hispanic Other,193800,0,0,>90,0,0
2022-04-16,Non-Hispanic White,887009,0,0,77.7,0,0
2022-04-23,Hispanic/Latino,336476,0,0,64.3,0,0
2022-04-23,Non-Hispanic Asian,162571,0,0,86.3,0,0
2022-04-23,Non-Hispanic Black,236797,0,0,64.1,0,0
2022-04-23,Non-Hispanic Other,193959,0,0,>90,0,0
2022-04-23,Non-Hispanic White,887910,0,0,77.8,0,0
2022-04-30,Hispanic/Latino,336863,0,0,64.4,0,0
2022-04-30,Non-Hispanic Asian,162781,0,0,86.4,0,0
2022-04-30,Non-Hispanic Black,237149,0,0,64.2,0,0
2022-04-30,Non-Hispanic Other,194118,0,0,>90,0,0
2022-04-30,Non-Hispanic White,888643,0,0,77.9,0,0
2022-05-07,Hispanic/Latino,337192,0,0,64.5,0,0
2022-05-07,Non-Hispanic Asian,162927,0,0,86.5,0,0
2022-05-07,Non-Hispanic Black,237467,0,0,64.3,0,0
2022-05-07,Non-Hispanic Other,194240,0,0,>90,0,0
2022-05-07,Non-Hispanic White,889277,0,0,77.9,0,0
2022-05-14,Hispanic/Latino,337502,0,0,64.5,0,0
2022-05-14,Non-Hispanic Asian,163131,0,0,86.6,0,0
2022-05-14,Non-Hispanic Black,237819,0,0,64.4,0,0
2022-05-14,Non-Hispanic Other,194409,0,0,>90,0,0
2022-05-14,Non-Hispanic White,890068,0,0,78,0,0
2022-05-21,Hispanic/Latino,337896,0,0,64.6,0,0
2022-05-21,Non-Hispanic Asian,163328,0,0,86.7,0,0
2022-05-21,Non-Hispanic Black,238214,0,0,64.5,0,0
2022-05-21,Non-Hispanic Other,194593,0,0,>90,0,0
2022-05-21,Non-Hispanic White,890945,0,0,78.1,0,0
2022-05-28,Hispanic/Latino,338316,0,0,64.7,0,0
2022-05-28,Non-Hispanic Asian,163516,0,0,86.8,0,0
2022-05-28,Non-Hispanic Black,238603,0,0,64.6,0,0
2022-05-28,Non-Hispanic Other,194764,0,0,>90,0,0
2022-05-28,Non-Hispanic White,891964,0,0,78.2,0,0
2022-06-04,Hispanic/Latino,338621,0,0,64.7,0,0
2022-06-04,Non-Hispanic Asian,163722,0,0,86.9,0,0
2022-06-04,Non-Hispanic Black,238928,0,0,64.7,0,0
2022-06-04,Non-Hispanic Other,194902,0,0,>90,0,0
2022-06-04,Non-Hispanic White,892674,0,0,78.2,0,0
2022-06-11,Hispanic/Latino,338942,0,0,64.8,0,0
2022-06-11,Non-Hispanic Asian,163887,0,0,87,0,0
2022-06-11,Non-Hispanic Black,239253,0,0,64.8,0,0
2022-06-11,Non-Hispanic Other,195045,0,0,>90,0,0
2022-06-11,Non-Hispanic White,893359,0,0,78.3,0,0
